Word,Mean,Type,Gender,Vachana,Viphat,ID,Category,Read,Note
"สตฺถา","พระศาสดา, ผู้สั่งสอน, ครู, พระพุทธเจ้า","นามนาม","ปุงลิงค์","เอกวจนะ","ปฐมา",3,"บุคคล","สัด-ถา",
"เอก","๑ (หนึ่ง)","สังขยา","ติลิงคิก","เอกวจนะ","ไม่มี",481,"ปกติสังขยา",,
"ทฺวิ","๒ (สอง)","สังขยา","อิตถีลิงค์","พหุวจนะ","ไม่มี",482,"ปกติสังขยา",,
"ติ","๓ (สาม)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",483,"ปกติสังขยา",,
"สนฺธาเรติ","กลั้น(น้ำตา)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",616,"กิริยาอาขยาต",,
"ปญฺจ","๕ (ห้า)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",485,"ปกติสังขยา",,
"ฉ","๖ (หก)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",486,"ปกติสังขยา",,
"สตฺต","๗ (เจ็ด)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",487,"ปกติสังขยา",,
"อฏฺฐ","๘ (แปด)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",488,"ปกติสังขยา",,
"นว","๙ (เก้า)","คุณนาม","ติลิงคิก","พหุวจนะ","ไม่มี",489,"ปกติสังขยา",,
"เอกาทส","๑๑ (สิบเอ็ด)","คุณนาม","ติลิงคิก","พหุวจนะ","ไม่มี",491,"ปกติสังขยา",,
"ทฺวาทส, พารส","๑๒ (สิบสอง)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",492,"ปกติสังขยา",,
"เตรส, เตฬส","๑๓ (สิบสาม)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",493,"ปกติสังขยา",,
"จุทฺทส, จตุทฺทส","๑๕ (สิบห้า)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",494,"ปกติสังขยา",,
"โสฬส","๑๖ (สิบหก)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",495,"ปกติสังขยา",,
"สตฺตารส, สตฺตทส","๑๗ (สิบเจ็ด)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",496,"ปกติสังขยา",,
"ทุติย","ที่ ๒","สังขยา","ติลิงคิก","ไม่มี","ไม่มี",586,"ปูรณสังขยา(กมสังขยา)","ทุ-ติ-ยะ",
"ตติย","ที่ ๓","สังขยา","ติลิงคิก","ไม่มี","ไม่มี",587,"ปูรณสังขยา(กมสังขยา)","ตะ-ติ-ยะ",
"จตุตฺถ","ที่ ๔","สังขยา","ติลิงคิก","ไม่มี","ไม่มี",588,"ปูรณสังขยา(กมสังขยา)","จะ-ตุด-ถะ",
"ภติ,เวตนํ","ค่าจ้าง","นามนาม","เลือกลิงค์","ไม่มี","ไม่มี",589,"นา และอุปกรณ์การทำนา","พะ-ติ,เว-ตะ-นัง",
"วฏฺเฏติ","กรอ(หลอด)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",590,"กิริยาอาขยาต","วัด-เต-ติ",
"ปริสฺสาเวติ","กรอง","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",591,"กิริยาอาขยาต","ปะ-ริ-สา-เว-ติ",
"วิกิรติ","กระจายไป","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",592,"กิริยาอาขยาต","วิ-กิ-ระ-ติ",
"อปนุทติ","กระชุ่น,เขี่ยออก","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",593,"กิริยาอาขยาต","อะ-ปะ-นุ-ทะ-ติ",
"สนฺตชฺเชติ","กระโชก","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",594,"กิริยาอาขยาต","สัน-ตัด-เช-ติ",
"ชคฺฆติ","กระซิกกระซี้","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",595,"กิริยาอาขยาต","ชัก-คะ-ติ",
"ลงฺฆติ","กระโดด","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",596,"กิริยาอาขยาต",,
"อุลฺลงฺฆติ","กระโดขึ้น","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",597,"กิริยาอาขยาต",,
"โอลงฺฆติ","กระโดลง","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",598,"กิริยาอาขยาต",,
"วคฺคติ","กระโดโลดเต้น(คึกคะนอง)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",599,"กิริยาอาขยาต",,
"ปฏิหนฺติ","กระทบ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",600,"กิริยาอาขยาต",,
"ฆฏฺเฏติ","กระทบ,เสียดสี(ชาติ)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",601,"กิริยาอาขยาต",,
"อุปหนฺติ","กระทบ(ตน และผู้อื่น)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",602,"กิริยาอาขยาต",,
"ปทสทฺทํ กโรติ","กระทืบเท้า(กระทำซึ่งเสียงแห่งเท้า)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",603,"กิริยาอาขยาต",,
"กโรติ","กระทำ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",604,"กิริยาอาขยาต","กะ-โร-ติ",
"ปญฺจสตาธกสหสฺสํ,ทิยฑฒสหสฺสํ","๑,๕๐๐ (หนึ่งพันห้าร้อย)","สังขยา","นปุงสกลิงค์","เอกวจนะ","ไม่มี",584,"ปกติสังขยา","ปัน-จะ-สะ-ตา-ธะ-กะ-สะ-หัส-สัง,ทิ-ยะ-ฑะ-ฒะ-สะ-หัส-สัง",
"ขนติ","กระพริบ(ตา)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",605,"กิริยาอาขยาต","ขะ-นะ-ติ",
"วิกฺขิปติ","กระพือ(ปีก)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",606,"กิริยาอาขยาต","วิก-ขิ-ปะ-ติ",
"ขุภติ","กระเพื่อม(น้ำ)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",607,"กิริยาอาขยาต","ขุ-พะ-ติ",
"วิลชฺชติ","กระมิดกระเมี้ยน","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",608,"กิริยาอาขยาต","วิ-ลัด-ชะ-ติ",
"อุกฺกณฺฐติ","กระสัน","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",609,"กิริยาอาขยาต","อุก-กัน-ถะ-ติ",
"อภิวาเทติ","กราบไหว้","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",610,"กิริยาอาขยาต","อะ-พิ-วา-เท-ติ",
"กุชฺฌติ, กุปฺปติ","โกรธ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",611,"กิริยาอาขยาต","กุด-ชะ-ติ, กุบ-ปะ-ติ",
"สมฺมชฺชติ","กวาด","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",612,"กิริยาอาขยาต","สัม-มัด-ชะ-ติ",
"กณฺเณ มนฺเตติ","กระซิบ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",613,"กิริยาอาขยาต","กัน-เน   มัน-เต-ติ",
"ปริคิลติ","กลบเกลื่อน","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",614,"กิริยาอาขยาต","ปะ-ริ-คิ-ละ-ติ",
"ปฏิจฺฉาเทติ","กลบไว้","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",615,"กิริยาอาขยาต","ปะ-ติด-ฉา-เท-ติ",
"ปฐม","ที่ ๑","สังขยา","ติลิงคิก","ไม่มี","ไม่มี",585,"ปูรณสังขยา(กมสังขยา)","ปะ-ถะ-มะ",
"วิรุชฺฌติ","ขึ้งเครียด, เสียดแทง","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",700,"กิริยาอาขยาต","วิ-รุด-ชะ-ติ",
"อภิรูหติ, อารูหติ","ขึ้น (ขี่)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",701,"กิริยาอาขยาต","อะ-พิ-รู-หะ-ติ, อา-รู-หะ-ติ",
"อุตฺตรติ","ขึ้น (จากน้ำ)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",702,"กิริยาอาขยาต","อุด-ตะ-ระ-ติ",
"อภิรูหติ","ขึ้น (สู่)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",703,"กิริยาอาขยาต","อะ-พิ-รู-หะ-ติ",
"อุคฺคจฺฉติ, อุยฺยาติ","ขึ้น (ลอยขึ้นไป)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",704,"กิริยาอาขยาต","อุก-คัด-ฉะ-ติ, อุย-ยา-ติ",
"มูลํ วฑฺเฒติ","ขึ้นราคา","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",705,"กิริยาอาขยาต","มู-ลัง-วัด-เท-ติ",
"ขนติ, ขณติ","ขุด","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",706,,"ขะ-นะ-ติ, ขะ-นะ-ติ",
"อุทฺธรติ","ขุด (ขุมทรัพย์)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",707,,"อุด-ธะ-ระ-ติ",
"ตชฺเชติ","ขู่","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",708,,"ตัด-เช-ติ",
"ชนติ","ขู่ (งู-)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",709,,"ชะ-นะ-ติ",
"ภญฺชติ","ขั้ว(-งา)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",710,,"พัน-ชะ-ติ",
"เนติ, นยติ","ไข (น้ำ)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",711,,"เน-ติ, นะ-ยะ-ติ",
"โอตรติ","เข้า (สงคราม)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",712,,"โอ-ตะ-ระ-ติ",
"มญฺญติ","เข้าใจ","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",713,,"มัน-ยะ-ติ",
"อุปปชฺชติ, อุเปติ","เข้าถึง","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",714,,"อุ-ปัด-ชะ-ติ",
"ปวิสติ","เข้าไป","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",715,,"ปะ-วิ-สะ-ติ",
"อุปคจฺฉติ","เข้าไปใกล้","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",716,,"อุ-ปะ-คัด-",
"อุปคุญฺหติ","เข้าไปซ่อน (ตัว)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",717,,"อุ-ปะ-คุน-หะ-ติ",
"อนุปวิสติ","เข้าไปตาม","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",718,,"อะ-นะ-ปะ-วิ-สะ-ติ",
"อุปนิสีทติ","เข้าไปนั่งใกล้","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",719,,"อุ-ปะ-นิ-สี-ทะ-ติ",
"ปยิรุปาสติ","เข้าไปนั่งเฝ้า","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",720,,"ปะ-ยิ-รุ-ปา-สะ-ติ",
"ทส","๑๐ (สิบ)","เลือกประเภทคำ","ติลิงคิก","ไม่มี","ไม่มี",490,"ปกติสังขยา",,
"อุปสงฺกมติ","เข้าไปหา","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",721,,"อุ-ปะ-สัง-กะ-มะ-ติ",
"อุปวสติ","เข้าไปอยู่","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",722,,"อุ-ปะ-วะ-สะ-ติ",
"วฑฺเฒติ","คด (ข้าว)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",723,,"วัด-เท-ติ",
"อกติ, อคฺคติ","คดไปคดมา","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",724,,"อะ-กะ-ติ, อัก-คะ-ติ",
"วิจินาติ","ค้นดู","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",725,,"วิ-จิ-นา-ติ",
"สมเนฺวสติ","ค้นหา","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",726,,"สะ-มะ-นะ-เว-สะ-ติ",
"เสวติ, ภชติ, ภเชติ","คบ, คบหา","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",727,,"เส-วะ-ติ, พะ-ชะ-ติ, พะ-เช-ติ",
"อชฺฌาวสติ","ครอง (เรือน)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",728,,"อัด-ชา-วะ-สะ-ติ",
"นิกุชฺชติ, ปฏิกุชฺชติ","ครอบ","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",729,,"นิ-กุด-ชะ-ติ, ปะ-ติ-กุด-ชะ-ติ",
"ปฏิปชฺชติ","ครอบครอง (ทรัพย์)
","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",730,,"ปะ-ติ-ปัด-ชะ-ติ",
"ปริคณฺหาติ","ครอบครอง (สถานที่)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",731,,"ปะ-ริ-คัน-หา-ติ",
"ปริยาทาติ","ครอบงำ (จิต)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",732,,"ปะ-ริ-ยา-ทา-ติ",
"อภิภวติ","ครอบงำ","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",733,,"อะ-ภิ-พะ-วะ-ติ",
"กนฺทติ","คร่ำครวญ","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",734,,"กัน-ทะ-ติ",
"อุปธาเรติ","ใคร่ครวญ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",735,,"อุ-ปะ-ธา-เร-ติ",
"อาลคฺเคติ, ลคฺเคติ","คล้องไว้","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",736,,"อา-ลัก-เค-ติ, ลัก-เค-ติ",
"ลคฺคติ","คล้องอยู่","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",737,,"ลัก-คะ-ติ",
"วิชายติ","คลอด (ลูก)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",738,,"วิ-ชา-ยะ-ติ",
"ปสาเรติ","คลี่ออก (ผ้า)","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",739,,"ปะ-สา-เร-ติ",
"สปฺปติ, ปริสปฺปติ","คลานไป","คำกิริยาอาขยาต","เลือกลิงค์","ไม่มี","ไม่มี",740,,"สับ-ปะ-ติ, ปะ-ริ-สับ-ปะ-ติ",
"วิรชฺชติ","คลายกำหนัด","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",741,,"วิ-รัด-ชะ-ติ",
"อมจฺโจ","อำมาตย์","นามนาม","ปุงลิงค์","ไม่มี","ไม่มี",742,"มนุษยชน","อะ-มัด-โจ",
