id,word,mean,freq
3053,กฏิฏฺิกํ,กระดูกส่วนเอว,1
4135,กฏิสฺสํ,ซึ่งเครื่องลาดทอด้วยไหมเจือด้วยใยทองและประดับด้วยรัตนะรอบๆ,1
3829,กณฺณสุขา,เป็นวาจาที่ก่อให้ความสบายหู,2
1215,กตญฺญุตา,อ. ความเป็นผู้กตัญญูรู้คุณ,1
1150,กตปุญฺญตา,อ. ความเป็นผู้มีบุญอันทำไว้แล้ว,1
1525,กตมา,เป็นอย่างไร,19
1526,กตมา,เป็นไฉน,3
3308,กตมํ,เป็นอย่างไร,24
3268,กตมํ,มีอะไรบ้าง,2
3458,กตฺถ,ในที่ไหน,4
5176,กตฺวา,ทรงกระทำแล้ว,1
5700,กตฺวา,กระทำแล้ว,1
1207,กตฺวาน,ครั้นกระทำแล้ว,1
2823,กตเม,มีอะไรบ้าง,2
5258,กตเม,เป็นอย่างไร,2
1323,กตเม,อะไรบ้าง,1
1324,กตเม,เป็นไฉน,1
1792,กตเมหิ,อะไรบ้าง,1
1522,กตโม,เป็นอย่างไร,22
1523,กตโม,เป็นไฉน,1
2780,กตํ,ได้ทำเสร็จแล้ว,3
3931,กถาย,ด้วยคำพูดสนทนา,1
1448,กถํ,อย่างไร,15
5420,กถํ,อย่างไร กล่าวคืออาศัยรูปร่างสัณฐานแล้วสงสัยว่า เราเป็นคนสูง คนต่ำ คนดำ คนขาว คนปานกลาง เป็นต้น,3
5429,กถํกถี,เป็นผู้มีความลังเลสงสัย,1
4142,กทลิมิคปวรปจฺจตฺถรณํ,ซึ่งเครื่องลาดที่ทำด้วยหนังชะมดอันประณีตสวยงาม,1
3387,กนฺตา,เป็นอารมณ์ที่น่าใคร่,1
4476,กนฺตารทฺธานมคฺคํ,สู่หนทางอันกันดารและยาวไกล,2
4500,กนฺตารทฺธานมคฺคํ,ซึ่งหนทางอันกันดารและยาวไกล,1
4480,กนฺตารํ,ซึ่งหนทางอันกันดาร,2
5786,กนฺตํ,ที่น่าใคร่,1
4371,กนฺทรํ,สู่ซอกเขา,1
1557,กปฺเปติ,ย่อมสำเร็จ,1
3565,กปฺเปติ,ย่อมเลี้ยง,1
